Bacteria,Yeast,Class,Replication,DAI,distance_to_yeast,colony_diameter,increase
B44,EMM_F34,Dothideomycetes,1,4,54.73,8.06,0.18
B44,EMM_F34,Dothideomycetes,2,4,0,4.54,-3.35
B44,EMM_F34,Dothideomycetes,2,4,11.38,8.59,0.18
B44,EMM_F34,Dothideomycetes,2,4,17.4,9.58,0.08
B44,EMM_F34,Dothideomycetes,2,4,24.86,9.25,0.27
B44,EMM_F34,Dothideomycetes,2,4,31.78,8.54,0.39
B44,EMM_F34,Dothideomycetes,2,4,40.63,7.71,0.11
B44,EMM_F34,Dothideomycetes,2,4,47.75,8.93,0.87
B44,EMM_F34,Dothideomycetes,2,4,54.73,8.21,0.06
B44,EMM_F34,Dothideomycetes,3,4,0,6.08,-2.07
B44,EMM_F34,Dothideomycetes,3,4,11.38,8.36,0.44
B44,EMM_F34,Dothideomycetes,3,4,17.4,8.02,0.09
B44,EMM_F34,Dothideomycetes,3,4,24.86,8.21,0.07
B44,EMM_F34,Dothideomycetes,3,4,31.78,8.28,0.14
B44,EMM_F34,Dothideomycetes,3,4,40.63,7.81,0
B44,EMM_F34,Dothideomycetes,3,4,47.75,8.09,0.07
B44,EMM_F34,Dothideomycetes,3,4,54.73,8.45,0.11
B44,SP_F14,Dothideomycetes,1,4,0,0,-3.08
B44,SP_F14,Dothideomycetes,1,4,11.38,7.03,-1.08
B44,SP_F14,Dothideomycetes,1,4,17.4,8.55,0.43
B44,SP_F14,Dothideomycetes,1,4,24.86,8.85,0.72
B44,SP_F14,Dothideomycetes,1,4,31.78,8.85,0.33
B44,SP_F14,Dothideomycetes,1,4,40.63,8.99,0.46
B44,SP_F14,Dothideomycetes,1,4,47.75,9.52,0.83
B44,SP_F14,Dothideomycetes,1,4,54.73,9.25,0.41
B44,SP_F14,Dothideomycetes,2,4,0,0,-5.72
B44,SP_F14,Dothideomycetes,2,4,11.38,8.28,-0.24
B44,SP_F14,Dothideomycetes,2,4,17.4,8.86,0.34
B44,SP_F14,Dothideomycetes,2,4,24.86,8.89,0.37
B44,SP_F14,Dothideomycetes,2,4,31.78,8.95,0.42
B44,SP_F14,Dothideomycetes,2,4,40.63,8.62,0.3
B44,SP_F14,Dothideomycetes,2,4,47.75,7.96,0.06
B44,SP_F14,Dothideomycetes,2,4,54.73,8.3,0.2
B44,SP_F14,Dothideomycetes,3,4,0,0,-6.32
B44,SP_F14,Dothideomycetes,3,4,11.38,6.93,-0.45
B44,SP_F14,Dothideomycetes,3,4,17.4,7.49,0.1
B44,SP_F14,Dothideomycetes,3,4,24.86,7.32,0.22
B44,SP_F14,Dothideomycetes,3,4,31.78,7.93,0.19
B44,SP_F14,Dothideomycetes,3,4,40.63,7.94,0.16
B44,SP_F14,Dothideomycetes,3,4,47.75,7.26,0.05
B44,SP_F14,Dothideomycetes,3,4,54.73,7.1,0.1
B44,EMM_F7,Tremellomycetes,1,4,0,5.65,-0.93
B44,EMM_F7,Tremellomycetes,1,4,11.38,7.42,0.22
B44,EMM_F7,Tremellomycetes,1,4,17.4,7.96,0.22
B44,EMM_F7,Tremellomycetes,1,4,24.86,8.41,0.48
B44,EMM_F7,Tremellomycetes,1,4,31.78,8.62,0.69
B44,EMM_F7,Tremellomycetes,1,4,40.63,9.29,0.45
B44,EMM_F7,Tremellomycetes,1,4,47.75,9.29,0.45
B44,EMM_F7,Tremellomycetes,1,4,54.73,7.85,0.13
B44,EMM_F7,Tremellomycetes,2,4,0,7.3,-0.13
B44,EMM_F7,Tremellomycetes,2,4,11.38,8.19,0.39
B44,EMM_F7,Tremellomycetes,2,4,17.4,8.5,0.42
B44,EMM_F7,Tremellomycetes,2,4,24.86,8.4,0.05
B44,EMM_F7,Tremellomycetes,2,4,31.78,8.71,0.36
B44,EMM_F7,Tremellomycetes,2,4,40.63,8.23,0.26
B44,EMM_F7,Tremellomycetes,2,4,47.75,9.21,0.11
B44,EMM_F7,Tremellomycetes,2,4,54.73,6.38,0.57
B44,EMM_F7,Tremellomycetes,3,4,0,6.99,0.23
B44,EMM_F7,Tremellomycetes,3,4,11.38,7.32,0.14
B44,EMM_F7,Tremellomycetes,3,4,17.4,8.01,-0.02
B44,EMM_F7,Tremellomycetes,3,4,24.86,9.34,0.11
B44,EMM_F7,Tremellomycetes,3,4,31.78,8.67,0.2
B44,EMM_F7,Tremellomycetes,3,4,40.63,7.72,0.06
B44,EMM_F7,Tremellomycetes,3,4,47.75,7.96,0.46
B44,EMM_F7,Tremellomycetes,3,4,54.73,8.44,0.47
B44,ZAN_F3,Tremellomycetes,1,4,0,6.16,-1.36
B44,ZAN_F3,Tremellomycetes,1,4,11.38,8.02,0.01
B44,ZAN_F3,Tremellomycetes,1,4,17.4,7.66,0.36
B44,ZAN_F3,Tremellomycetes,1,4,24.86,7.92,0.12
